,Date Run,Ticker,Model,Prediction Window,Lookback Window,Number of Estimators,Max Depth,Strategy Annual Return,Benchmark Annual Return,Active Annualized Return,Cumulative Returns,Sharpe Ratio,Sortino Ratio,Max Drawdown,Mean Squared Error,Baseline,Accuracy,Skill
0,2023-01-15,RZG,linreg,63,252,2,3,0.022096952707192807,0.06843112716738586,-0.046334174460193056,40.60274216510844,0.21036207460651082,0.2865895000308557,-0.5574125500982301,18.763955113894976,0.6558693244739756,0.5667220376522702,-0.08914728682170536
0,2023-01-15,NACP,linreg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2023-01-15,RZG,linreg,63,252,2,3,0.022096952707192807,0.06843112716738586,-0.046334174460193056,40.60274216510844,0.21036207460651082,0.2865895000308557,-0.5574125500982301,18.763955113894976,0.6558693244739756,0.5667220376522702,-0.08914728682170536
0,2023-01-15,INCO,linreg,63,252,2,3,0.007889416657651083,0.10218877062987297,-0.09429935397222189,8.313881695849169,0.12652357338767625,0.1757438091654018,-0.4002668366330547,15.828867988781974,0.6038324420677362,0.3810160427807487,-0.22281639928698754
0,2023-01-15,UAUG,linreg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2023-01-15,SOXL,linreg,63,252,2,3,0.01842718130275145,0.1933963122373601,-0.17496913093460864,23.55366248440611,0.3506220306779413,0.4866115239208084,-0.8786696944883429,47.56206324336873,0.6856264411990777,0.52152190622598,-0.16410453497309763
0,2023-01-15,MMIN,linreg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2023-01-15,HTAB,linreg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2023-01-15,TFI,linreg,63,252,2,3,-0.0021869371444428465,9.601421395832865e-05,-0.002282951358401175,-3.033732784039045,-0.032518620737029755,-0.042134599017927626,-0.17437825962932485,5.276076058574632,0.6138123257974605,0.47321152059461136,-0.14060080520284912
0,2023-01-15,RJN,linreg,63,252,2,3,-0.03509141166466789,-0.029699752255411882,-0.005391659409256011,-36.29570672933675,-0.0072032824518611215,-0.009567125052221365,-0.819598148395927,38.7270516479506,0.5439944134078212,0.5139664804469274,-0.03002793296089379
0,2023-01-15,SOXX,linreg,63,252,2,3,0.013777784501491253,0.09568770905477275,-0.0819099245532815,31.871951785147566,0.17408997116968114,0.24164792270280297,-0.664559086755668,19.225785462600605,0.6490163248221013,0.49644202595228126,-0.15257429886982
0,2023-01-15,PAUG,linreg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2023-01-15,XTN,linreg,63,252,2,3,0.03053053981179188,0.09460131727783971,-0.06407077746604783,37.95280692984699,0.2596390295600226,0.3586100534631462,-0.42195402901846274,15.365551288503786,0.6246321984026902,0.5851197982345523,-0.03951240016813795
0,2023-01-15,FSST,linreg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2023-01-15,DWMF,linreg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2023-01-15,EFAV,linreg,63,252,2,3,-0.008085734897601116,0.0023310692690119428,-0.010416804166613058,-7.771045753183136,-0.021274305106832734,-0.027852881159352222,-0.33336653144708844,9.529478198013871,0.5679124886052871,0.4603463992707384,-0.1075660893345487
0,2023-01-15,DFNV,linreg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2023-01-15,CWB,linreg,63,252,2,3,0.014395843479770187,0.03854959245227607,-0.024153748972505884,19.534902444090953,0.19981752131200298,0.27676109570879637,-0.3131722862449286,12.134600416014676,0.6376811594202898,0.48497702368328033,-0.15270413573700947
0,2023-01-15,XBOC,linreg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2023-01-15,GLDB,linreg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2023-01-15,EFG,linreg,63,252,2,3,-0.027339535406643578,0.009473217145793411,-0.03681275255243699,-36.125724235360124,-0.07074454069454912,-0.0969820405602152,-0.5560480010946871,18.887152742586093,0.6016498137307078,0.4430548163916977,-0.1585949973390101
0,2023-01-15,SPRE,linreg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2023-01-15,IDLV,linreg,63,252,2,3,-0.027438642871140395,-0.017132033357290632,-0.010306609513849763,-23.716504276104466,-0.20980178026516003,-0.2655583844865453,-0.3992105104881873,9.043080210483033,0.5484777517564403,0.4201405152224824,-0.1283372365339579
0,2023-01-15,SPC,linreg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2023-01-15,MJXL,linreg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2023-01-15,EEMA,linreg,63,252,2,3,-0.01350189882916708,-0.0011340126122335592,-0.012367886216933521,-12.309230816584193,-0.021802914131890175,-0.029043810957467026,-0.3296919171407905,14.74554784288048,0.5047214353163362,0.5047214353163362,0.0
0,2023-01-16,NACP,xg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2023-01-16,INCO,xg,63,252,2,3,0.019482854020905105,0.10218877062987297,-0.08270591660896787,21.664159844353705,0.2000513550073996,0.2742400506859312,-0.3673038727815496,12.388020798348531,0.6038324420677362,0.4612299465240642,-0.14260249554367205
0,2023-01-16,UAUG,xg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2023-01-16,SOXL,xg,63,252,2,3,0.2772068627374693,0.1933963122373601,0.08381055050010922,1601.6075474287297,0.7061210070139723,1.000594246037832,-0.8118906922149733,38.076936384475175,0.6856264411990777,0.637586471944658,-0.04803996925441967
0,2023-01-16,MMIN,xg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2023-01-16,HTAB,xg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2023-01-16,TFI,xg,63,252,2,3,0.0024643539205571052,9.601421395832865e-05,0.0023683397065987766,3.5241074751752643,0.08034346800068387,0.10363550980384188,-0.15487314294528393,3.1245120699854607,0.6138123257974605,0.4893155775781976,-0.12449674821926288
0,2023-01-16,RJN,xg,63,252,2,3,-0.03953162960787937,-0.029699752255411882,-0.009831877352467489,-39.8987530137333,-0.059557719419097495,-0.07849826606007748,-0.7366108962014266,19.037804300575377,0.5439944134078212,0.45914804469273746,-0.08484636871508372
0,2023-01-16,SOXX,xg,63,252,2,3,0.06356665916482296,0.09568770905477275,-0.03212104988994979,247.64484679824727,0.3844328882779212,0.54323587588746,-0.5202933170384934,14.448101226607143,0.6490163248221013,0.5740895772289661,-0.07492674759313511
0,2023-01-16,PAUG,xg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2023-01-16,XTN,xg,63,252,2,3,0.024307193788423165,0.09460131727783971,-0.07029412348941655,29.296517653361786,0.22450497272321876,0.3061639986664064,-0.5387740524218929,12.50002666020777,0.6246321984026902,0.5081967213114754,-0.11643547709121482
0,2023-01-16,FSST,xg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2023-01-16,DWMF,xg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2023-01-16,EFAV,xg,63,252,2,3,-0.011535259210318394,0.0023310692690119428,-0.013866328479330337,-10.917626206959952,-0.05752945976730141,-0.07563281600729134,-0.32443881520488455,6.242848038908366,0.5679124886052871,0.4161349134001823,-0.15177757520510476
0,2023-01-16,DFNV,xg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2023-01-16,CWB,xg,63,252,2,3,0.03890213095816386,0.03854959245227607,0.00035253850588778946,61.034850344810486,0.39605384325422915,0.5246617825876394,-0.32162970586460693,8.059616849254372,0.6376811594202898,0.5811240721102863,-0.05655708731000353
0,2023-01-16,XBOC,xg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2023-01-16,GLDB,xg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
